EC Number,Metabolite,Concentration,Km,Abbreviation,[Met]/Km,Organism
2.6.1.7,tyrosine,9.38E-4,2.70E-3,tyr-L,3.47E-1,Mus musculus
2.6.1.7,phenylpyruvate,1.77E-3,6.48E-4,phpyr,2.73E+0,Mus musculus
2.7.1.1,ATP,4.67E-3,2.85E-4,atp,1.64E+1,Mus musculus
2.7.1.1,UTP,1.76E-3,5.00E-3,utp,3.53E-1,Homo sapiens
2.7.1.1,CTP,8.97E-4,5.00E-3,ctp,1.79E-1,Homo sapiens
2.7.1.105,ATP,4.67E-3,2.97E-4,atp,1.58E+1,Homo sapiens
2.7.1.107,ATP,4.67E-3,2.87E-4,atp,1.63E+1,Homo sapiens
2.7.1.11,ATP,4.67E-3,7.29E-5,atp,6.41E+1,Homo sapiens
2.7.1.11,fructose-6-phosphate,9.69E-5,1.45E-4,f6p,6.67E-1,Homo sapiens
2.7.1.113,ATP,4.67E-3,4.02E-5,atp,1.16E+2,Homo sapiens
2.7.1.127,ATP,4.67E-3,2.50E-3,atp,1.87E+0,Homo sapiens
2.7.1.138,ATP,4.67E-3,8.56E-2,atp,5.46E-2,Mus musculus
2.7.1.15,ATP,4.67E-3,8.24E-5,atp,5.67E+1,Homo sapiens
2.7.1.151,ATP,4.67E-3,1.70E-5,atp,2.75E+2,Homo sapiens
2.7.1.154,ATP,4.67E-3,2.96E-5,atp,1.58E+2,Homo sapiens
2.7.1.157,ATP,4.67E-3,3.47E-5,atp,1.35E+2,Homo sapiens
2.7.1.158,ATP,4.67E-3,2.10E-5,atp,2.23E+2,Homo sapiens
2.7.1.2,ATP,4.67E-3,1.28E-5,atp,3.66E+2,Homo sapiens
2.7.1.21,thymidine,2.64E-6,5.75E-6,thymd,4.58E-1,Mus musculus
2.7.1.21,ATP,4.67E-3,2.12E-4,atp,2.20E+1,Mus musculus
2.7.1.21,UTP,1.76E-3,2.60E-4,utp,6.78E+0,Homo sapiens
2.7.1.21,CTP,8.97E-4,1.50E-4,ctp,5.98E+0,Mus musculus
2.7.1.21,GTP,6.77E-4,3.00E-4,gtp,2.26E+0,Mus musculus
2.7.1.23,ATP,4.67E-3,1.72E-3,atp,2.72E+0,Homo sapiens
2.7.1.23,NAD+,5.02E-4,5.26E-4,nad,9.55E-1,Homo sapiens
2.7.1.24,ATP,4.67E-3,1.90E-4,atp,2.46E+1,Homo sapiens
2.7.1.25,ATP,4.67E-3,2.58E-4,atp,1.81E+1,Homo sapiens
2.7.1.32,ATP,4.67E-3,6.08E-4,atp,7.69E+0,Homo sapiens
2.7.1.33,ATP,4.67E-3,9.87E-5,atp,4.73E+1,Mus musculus
2.7.1.35,ATP,4.67E-3,5.31E-5,atp,8.79E+1,Homo sapiens
2.7.1.36,ATP,4.67E-3,2.30E-4,atp,2.03E+1,Homo sapiens
2.7.1.40,ADP,5.69E-4,1.28E-3,adp,4.46E-1,Homo sapiens
2.7.1.40,phosphoenolpyruvate,1.16E-5,2.29E-4,pep,5.08E-2,Homo sapiens
2.7.1.59,ATP,4.67E-3,1.80E-3,atp,2.60E+0,Homo sapiens
2.7.1.6,ATP,4.67E-3,1.16E-4,atp,4.03E+1,Homo sapiens
2.7.1.67,ATP,4.67E-3,1.40E-4,atp,3.34E+1,Mus musculus
2.7.1.68,ATP,4.67E-3,6.30E-6,atp,7.42E+2,Homo sapiens
2.7.1.74,thymidine,2.64E-6,3.49E-3,thymd,7.57E-4,Homo sapiens
2.7.1.74,ATP,4.67E-3,1.15E-5,atp,4.06E+2,Homo sapiens
2.7.1.74,UTP,1.76E-3,7.15E-6,utp,2.47E+2,Homo sapiens
2.7.1.74,CTP,8.97E-4,1.30E-6,ctp,6.90E+2,Homo sapiens
2.7.1.74,GTP,6.77E-4,9.00E-7,gtp,7.52E+2,Homo sapiens
2.7.1.76,ATP,4.67E-3,2.05E-5,atp,2.28E+2,Homo sapiens
2.7.1.78,ATP,4.67E-3,5.00E-4,atp,9.35E+0,Homo sapiens
2.7.1.81,ATP,4.67E-3,8.10E-4,atp,5.77E+0,Homo sapiens
2.7.1.81,GTP,6.77E-4,3.50E-6,gtp,1.93E+2,Homo sapiens
2.7.1.91,ATP,4.67E-3,7.20E-5,atp,6.49E+1,Mus musculus
2.7.10.1,ATP,4.67E-3,5.00E-6,atp,9.35E+2,Homo sapiens
2.7.10.2,ATP,4.67E-3,5.53E-5,atp,8.45E+1,Homo sapiens
2.7.11.1,ATP,4.67E-3,5.70E-5,atp,8.20E+1,Homo sapiens
2.7.11.12,ATP,4.67E-3,1.33E-5,atp,3.51E+2,Homo sapiens
2.7.11.13,ATP,4.67E-3,9.30E-6,atp,5.02E+2,Homo sapiens
2.7.11.14,ATP,4.67E-3,1.51E-5,atp,3.10E+2,Homo sapiens
2.7.11.17,ATP,4.67E-3,1.14E-5,atp,4.10E+2,Homo sapiens
2.7.11.18,ATP,4.67E-3,1.21E-4,atp,3.86E+1,Homo sapiens
2.7.11.2,ATP,4.67E-3,2.62E-5,atp,1.78E+2,Homo sapiens
2.7.11.21,ATP,4.67E-3,1.33E-6,atp,3.50E+3,Homo sapiens
2.7.11.22,ATP,4.67E-3,9.42E-6,atp,4.96E+2,Homo sapiens
2.7.11.23,ATP,4.67E-3,3.00E-5,atp,1.56E+2,Mus musculus
2.7.11.25,ATP,4.67E-3,1.23E-4,atp,3.79E+1,Homo sapiens
2.7.11.30,ATP,4.67E-3,8.80E-6,atp,5.31E+2,Homo sapiens
2.7.2.3,ADP,5.69E-4,1.19E-4,adp,4.76E+0,Mus musculus
2.7.2.3,ATP,4.67E-3,1.40E-4,atp,3.33E+1,Mus musculus
2.7.2.3,3-phosphoglycerate,3.75E-4,1.14E-4,3pg,3.30E+0,Mus musculus
2.7.3.2,ADP,5.69E-4,6.96E-5,adp,8.18E+0,Homo sapiens
2.7.3.2,ATP,4.67E-3,5.33E-4,atp,8.77E+0,Mus musculus
2.7.4.14,ATP,4.67E-3,2.64E-4,atp,1.77E+1,Homo sapiens
2.7.4.14,UMP,1.45E-5,1.08E-4,ump,1.34E-1,Homo sapiens
2.7.4.14,dCMP,3.71E-5,5.66E-4,dcmp,6.56E-2,Homo sapiens
2.7.4.14,CMP,1.18E-5,6.84E-5,cmp,1.72E-1,Homo sapiens
2.7.4.2,ADP,5.69E-4,4.70E-5,adp,1.21E+1,Homo sapiens
2.7.4.2,ATP,4.67E-3,1.07E-4,atp,4.37E+1,Homo sapiens
2.7.4.21,ATP,4.67E-3,3.70E-5,atp,1.26E+2,Homo sapiens
2.7.4.24,ADP,5.69E-4,6.84E-5,adp,8.32E+0,Homo sapiens
2.7.4.24,ATP,4.67E-3,2.20E-5,atp,2.12E+2,Homo sapiens
2.7.4.3,AMP,4.23E-5,6.46E-5,amp,6.55E-1,Homo sapiens
2.7.4.3,dAMP,1.68E-5,1.01E-3,damp,1.67E-2,Homo sapiens
2.7.4.3,ADP,5.69E-4,1.28E-4,adp,4.44E+0,Homo sapiens
2.7.4.3,ATP,4.67E-3,2.84E-7,atp,1.65E+4,Mus musculus
2.7.4.4,dAMP,1.68E-5,1.06E-4,damp,1.59E-1,Homo sapiens
2.7.4.4,dTMP,1.18E-5,2.30E-4,dtmp,5.14E-2,Homo sapiens
2.7.4.6,ADP,5.69E-4,2.40E-5,adp,2.37E+1,Homo sapiens
2.7.4.6,ATP,4.67E-3,2.00E-4,atp,2.34E+1,Homo sapiens
2.7.4.6,GTP,6.77E-4,1.20E-4,gtp,5.64E+0,Homo sapiens
2.7.4.8,GMP,1.81E-5,5.46E-5,gmp,3.31E-1,Mus musculus
2.7.4.8,ATP,4.67E-3,1.00E-3,atp,4.67E+0,Mus musculus
2.7.4.9,dTMP,1.18E-5,1.90E-4,dtmp,6.23E-2,Mus musculus
2.7.4.9,dATP,9.74E-7,1.30E-4,datp,7.50E-3,Homo sapiens
2.7.4.9,ATP,4.67E-3,3.92E-5,atp,1.19E+2,Homo sapiens
2.7.4.9,GTP,6.77E-4,3.30E-4,gtp,2.05E+0,Homo sapiens
2.7.6.1,AMP,4.23E-5,1.22E-4,amp,3.47E-1,Homo sapiens
2.7.6.1,ATP,4.67E-3,3.13E-5,atp,1.49E+2,Homo sapiens
2.7.6.1,ribose-5-phosphate,2.84E-5,7.93E-5,r5p,3.58E-1,Homo sapiens
2.7.6.2,ATP,4.67E-3,1.20E-3,atp,3.89E+0,Homo sapiens
2.7.7.1,dATP,9.74E-7,4.50E-4,datp,2.17E-3,Homo sapiens
2.7.7.1,ATP,4.67E-3,5.48E-5,atp,8.53E+1,Mus musculus
2.7.7.1,NAD+,5.02E-4,7.59E-5,nad,6.61E+0,Homo sapiens
2.7.7.1,GTP,6.77E-4,2.76E-4,gtp,2.45E+0,Homo sapiens
2.7.7.12,UDP-glucose,1.53E-3,1.01E-4,udpg ,1.51E+1,Homo sapiens
2.7.7.18,NAD+,5.02E-4,7.00E-5,nad,7.17E+0,Homo sapiens
2.7.7.19,ATP,4.67E-3,6.36E-5,atp,7.35E+1,Homo sapiens
2.7.7.2,ATP,4.67E-3,1.53E-5,atp,3.05E+2,Homo sapiens
2.7.7.23,UDP-N-acetyl-glucosamine,8.97E-3,7.00E-4,uacgam,1.28E+1,Homo sapiens
2.7.7.30,ATP,4.67E-3,5.16E-4,atp,9.06E+0,Homo sapiens
2.7.7.30,GTP,6.77E-4,5.02E-5,gtp,1.35E+1,Homo sapiens
2.7.7.31,dATP,9.74E-7,1.00E-5,datp,9.74E-2,Homo sapiens
2.7.7.4,ATP,4.67E-3,1.22E-4,atp,3.82E+1,Homo sapiens
2.7.7.43,CTP,8.97E-4,3.95E-5,ctp,2.27E+1,Mus musculus
2.7.7.50,GTP,6.77E-4,1.10E-6,gtp,6.16E+2,Homo sapiens
2.7.7.83,UDP-N-acetyl-glucosamine,8.97E-3,3.20E-5,uacgam,2.80E+2,Homo sapiens
2.7.7.83,N-acetyl-glucosamine-1/6-phosphate,7.47E-6,3.95E-5,acgam1p,1.89E-1,Homo sapiens
2.7.7.83,UTP,1.76E-3,5.10E-5,utp,3.46E+1,Homo sapiens
2.7.7.9,UDP-glucose,1.53E-3,1.08E-4,udpg ,1.41E+1,Homo sapiens
2.7.7.9,UTP,1.76E-3,4.80E-5,utp,3.67E+1,Homo sapiens
2.7.8.17,UDP-N-acetyl-glucosamine,8.97E-3,2.40E-5,uacgam,3.74E+2,Homo sapiens
2.7.8.29,serine,4.86E-3,1.20E-4,ser-L,4.05E+1,Homo sapiens
2.7.8.7,acetyl-CoA,2.88E-5,2.49E-5,accoa,1.16E+0,Homo sapiens
3.1.2.20,malonyl-CoA,4.95E-6,1.42E-4,malcoa,3.48E-2,Mus musculus
3.1.2.20,acetyl-CoA,2.88E-5,2.90E-4,accoa,9.92E-2,Homo sapiens
3.1.2.20,succinyl-CoA,6.80E-6,1.40E-5,succoa,4.85E-1,Homo sapiens
3.1.3.1,AMP,4.23E-5,3.00E-3,amp,1.41E-2,Homo sapiens
3.1.3.1,dTMP,1.18E-5,4.50E-3,dtmp,2.63E-3,Homo sapiens
3.1.3.1,ADP,5.69E-4,4.40E-3,adp,1.29E-1,Homo sapiens
3.1.3.1,ATP,4.67E-3,5.70E-3,atp,8.20E-1,Homo sapiens
3.1.3.1,3-phospho-serine,4.40E-4,5.08E-4,pser-L,8.65E-1,Homo sapiens
3.1.3.11,"fructose-1,6-bisphosphate",1.52E-3,1.30E-6,fdp,1.17E+3,Mus musculus
3.1.3.13,"2,3-bisphosphoglycerate",2.37E-4,8.91E-6,23dpg,2.66E+1,Homo sapiens
3.1.3.2,AMP,4.23E-5,1.41E-3,amp,2.99E-2,Homo sapiens
3.1.3.2,GMP,1.81E-5,2.22E-3,gmp,8.12E-3,Homo sapiens
3.1.3.2,ADP,5.69E-4,3.33E-4,adp,1.71E+0,Homo sapiens
3.1.3.2,ATP,4.67E-3,2.65E-4,atp,1.76E+1,Homo sapiens
3.1.3.2,phosphoenolpyruvate,1.16E-5,3.39E-4,pep,3.43E-2,Homo sapiens
3.1.3.2,UDP,1.33E-4,6.15E-4,udp,2.17E-1,Homo sapiens
3.1.3.2,UTP,1.76E-3,7.14E-4,utp,2.47E+0,Homo sapiens
3.1.3.2,CTP,8.97E-4,3.77E-4,ctp,2.38E+0,Homo sapiens
3.1.3.2,GTP,6.77E-4,2.60E-4,gtp,2.60E+0,Homo sapiens
3.1.3.2,GDP,3.02E-5,3.48E-4,gdp,8.68E-2,Homo sapiens
3.1.3.29,6-phospho-D-gluconate,1.65E-5,2.70E-3,6pgc,6.12E-3,Homo sapiens
3.1.3.29,"fructose-1,6-bisphosphate",1.52E-3,1.92E-2,fdp,7.89E-2,Homo sapiens
3.1.3.3,3-phospho-serine,4.40E-4,2.00E-5,pser-L,2.20E+1,Mus musculus
3.1.3.31,dAMP,1.68E-5,3.00E-3,damp,5.61E-3,Homo sapiens
3.1.3.31,GMP,1.81E-5,1.70E-2,gmp,1.06E-3,Homo sapiens
3.1.3.31,dTMP,1.18E-5,7.00E-3,dtmp,1.69E-3,Homo sapiens
3.1.3.31,IMP,1.23E-5,8.60E-3,imp,1.43E-3,Homo sapiens
3.1.3.31,UMP,1.45E-5,1.40E-2,ump,1.04E-3,Homo sapiens
3.1.3.35,dTMP,1.18E-5,3.05E-1,dtmp,3.88E-5,Homo sapiens
3.1.3.5,AMP,4.23E-5,1.20E-5,amp,3.53E+0,Mus musculus
3.1.3.5,inosine,1.33E-6,1.98E-3,ins,6.71E-4,Homo sapiens
3.1.3.5,dAMP,1.68E-5,3.50E-5,damp,4.81E-1,Homo sapiens
3.1.3.5,GMP,1.81E-5,1.70E-5,gmp,1.06E+0,Homo sapiens
3.1.3.5,IMP,1.23E-5,4.08E-4,imp,3.02E-2,Homo sapiens
3.1.3.5,UMP,1.45E-5,1.40E-5,ump,1.04E+0,Homo sapiens
3.1.3.5,dCMP,3.71E-5,3.76E-5,dcmp,9.87E-1,Homo sapiens
3.1.3.5,CMP,1.18E-5,2.00E-6,cmp,5.88E+0,Homo sapiens
3.1.3.62,"2,3-bisphosphoglycerate",2.37E-4,6.10E-4,23dpg,3.89E-1,Homo sapiens
3.1.3.9,glucose-6-phosphate,6.75E-4,2.35E-3,g6p,2.87E-1,Homo sapiens
3.1.4.17,cyclic-AMP,1.30E-7,1.06E-4,camp,1.22E-3,Mus musculus
3.1.4.45,UDP-N-acetyl-glucosamine,8.97E-3,9.40E-4,uacgam,9.54E+0,Homo sapiens
3.1.4.53,cyclic-AMP,1.30E-7,6.04E-7,camp,2.15E-1,Mus musculus
3.2.1.50,UDP-N-acetyl-glucosamine,8.97E-3,3.90E-4,uacgam,2.30E+1,Homo sapiens
3.2.2.5,NAD+,5.02E-4,1.13E-4,nad,4.43E+0,Homo sapiens
3.2.2.6,NAD+,5.02E-4,3.46E-5,nad,1.45E+1,Homo sapiens
3.2.2.6,NADP+,2.84E-5,6.50E-5,nadp,4.37E-1,Homo sapiens
3.3.1.1,S-adenosyl-L-homocysteine,5.71E-7,1.36E-6,ahcys,4.19E-1,Mus musculus
3.4.19.13,glutathione,3.09E-3,1.05E-5,gthrd,2.92E+2,Homo sapiens
3.4.19.13,glutathione disulfide,1.80E-5,1.94E-5,gthox,9.28E-1,Homo sapiens
3.4.19.14,glutathione,3.09E-3,1.05E-4,gthrd,2.94E+1,Homo sapiens
3.4.19.14,glutathione disulfide,1.80E-5,4.26E-4,gthox,4.22E-2,Homo sapiens
3.5.1.14,N-Acetyl-L-alanine,1.03E-5,2.01E-2, ,5.13E-4,Homo sapiens
3.5.1.14,N-acetyl-glutamine,6.24E-6,6.23E-2, ,1.00E-4,Homo sapiens
3.5.1.15,N-Acetyl-L-aspartic acid,2.90E-3,2.50E-3,Nacasp,1.16E+0,Mus musculus
3.5.1.2,glutamine,1.72E-2,3.90E-3,gln-L,4.42E+0,Homo sapiens
3.5.1.26,asparagine,2.15E-4,6.60E-4,asn-L,3.26E-1,Homo sapiens
3.5.3.1,arginine,2.55E-4,1.55E-3,arg-L,1.65E-1,Homo sapiens
3.5.4.12,dCMP,3.71E-5,2.20E-5,dcmp,1.69E+0,Homo sapiens
3.5.4.16,GTP,6.77E-4,1.73E-5,gtp,3.91E+1,Mus musculus
3.5.4.6,AMP,4.23E-5,1.90E-3,amp,2.23E-2,Homo sapiens
3.5.99.6,fructose-6-phosphate,9.69E-5,8.87E-3,f6p,1.09E-2,Homo sapiens
3.6.1.15,ADP,5.69E-4,4.60E-5,adp,1.24E+1,Homo sapiens
3.6.1.15,ATP,4.67E-3,5.00E-6,atp,9.35E+2,Homo sapiens
3.6.1.15,UTP,1.76E-3,5.00E-6,utp,3.53E+2,Homo sapiens
3.6.1.15,CTP,8.97E-4,6.00E-6,ctp,1.50E+2,Homo sapiens
3.6.1.15,GTP,6.77E-4,4.00E-6,gtp,1.69E+2,Homo sapiens
3.6.1.23,UTP,1.76E-3,5.40E-4,utp,3.27E+0,Homo sapiens
3.6.1.28,ATP,4.67E-3,3.70E-3,atp,1.26E+0,Homo sapiens
3.6.1.5,ADP,5.69E-4,2.79E-5,adp,2.04E+1,Mus musculus
3.6.1.5,ATP,4.67E-3,1.20E-5,atp,3.91E+2,Mus musculus
3.6.1.56,GTP,6.77E-4,7.90E-4,gtp,8.57E-1,Homo sapiens
3.6.1.58,GDP,3.02E-5,4.80E-5,gdp,6.29E-1,Homo sapiens
3.6.1.64,GDP,3.02E-5,3.30E-4,gdp,9.15E-2,Homo sapiens
3.6.1.7,"1,3-bisphosphoglycerate",2.24E-6,4.26E-4,13dpg,5.27E-3,Homo sapiens
3.6.1.9,ATP,4.67E-3,2.34E-5,atp,2.00E+2,Homo sapiens
3.6.1.9,UDP-glucose,1.53E-3,6.20E-4,udpg ,2.46E+0,Homo sapiens
3.6.1.9,NADH,7.50E-5,1.00E-4,nadh,7.50E-1,Homo sapiens
3.6.3.1,ATP,4.67E-3,3.22E-4,atp,1.45E+1,Homo sapiens
3.6.3.10,ATP,4.67E-3,3.07E-4,atp,1.52E+1,Homo sapiens
3.6.3.21,ATP,4.67E-3,1.79E-4,atp,2.62E+1,Homo sapiens
3.6.3.4,ATP,4.67E-3,9.95E-6,atp,4.70E+2,Homo sapiens
3.6.3.43,ATP,4.67E-3,3.00E-4,atp,1.56E+1,Homo sapiens
3.6.3.44,ATP,4.67E-3,4.56E-5,atp,1.03E+2,Mus musculus
3.6.3.49,AMP,4.23E-5,3.00E-5,amp,1.41E+0,Mus musculus
3.6.3.49,ADP,5.69E-4,4.50E-4,adp,1.26E+0,Mus musculus
3.6.3.49,ATP,4.67E-3,3.00E-5,atp,1.56E+2,Mus musculus
3.6.3.8,ATP,4.67E-3,2.10E-8,atp,2.23E+5,Homo sapiens
3.6.3.8,UTP,1.76E-3,3.70E-8,utp,4.77E+4,Homo sapiens
3.6.4.1,ATP,4.67E-3,5.90E-5,atp,7.92E+1,Homo sapiens
3.6.4.10,ATP,4.67E-3,4.00E-7,atp,1.17E+4,Mus musculus
3.6.4.12,ATP,4.67E-3,1.85E-4,atp,2.53E+1,Homo sapiens
3.6.4.12,UTP,1.76E-3,1.90E-3,utp,9.30E-1,Homo sapiens
3.6.4.13,ATP,4.67E-3,6.14E-5,atp,7.61E+1,Homo sapiens
3.6.4.2,ATP,4.67E-3,1.25E-4,atp,3.74E+1,Homo sapiens
3.6.4.3,ATP,4.67E-3,1.12E-4,atp,4.19E+1,Homo sapiens
3.6.4.4,ATP,4.67E-3,4.29E-5,atp,1.09E+2,Homo sapiens
3.6.5.1,GTP,6.77E-4,2.92E-4,gtp,2.32E+0,Homo sapiens
3.6.5.5,GTP,6.77E-4,2.53E-5,gtp,2.68E+1,Mus musculus
4.1.1.15,glutamate,6.38E-2,7.00E-4,glu-L,9.11E+1,Mus musculus
4.1.1.22,histidine,4.10E-4,2.75E-4,his-L,1.49E+0,Mus musculus
4.1.1.32,phosphoenolpyruvate,1.16E-5,3.12E-4,pep,3.72E-2,Homo sapiens
4.1.1.32,oxaloacetate,2.01E-6,1.15E-5,oaa,1.75E-1,Homo sapiens
4.1.1.32,GTP,6.77E-4,3.84E-5,gtp,1.77E+1,Homo sapiens
4.1.1.32,GDP,3.02E-5,3.36E-4,gdp,8.98E-2,Homo sapiens
4.1.1.33,ATP,4.67E-3,6.90E-4,atp,6.77E+0,Homo sapiens
4.1.1.9,malonyl-CoA,4.95E-6,5.36E-5,malcoa,9.23E-2,Homo sapiens
4.1.2.13,"fructose-1,6-bisphosphate",1.52E-3,9.32E-6,fdp,1.63E+2,Homo sapiens
4.2.1.11,phosphoenolpyruvate,1.16E-5,6.97E-4,pep,1.67E-2,Homo sapiens
4.2.1.11,2-phosphoglycerate,9.49E-6,2.97E-4,2pg,3.19E-2,Homo sapiens
4.2.1.22,cysteine,8.40E-5,4.21E-3,cys-L,2.00E-2,Homo sapiens
4.2.1.22,serine,4.86E-3,2.11E-3,ser-L,2.31E+0,Homo sapiens
4.3.1.17,serine,4.86E-3,1.21E-2,ser-L,4.03E-1,Mus musculus
4.3.1.17,threonine,6.69E-3,1.17E-2,thr-L,5.71E-1,Homo sapiens
4.3.2.1,fumarate,4.85E-4,5.30E-3,fum,9.15E-2,Homo sapiens
4.3.2.1,arginine,2.55E-4,3.00E-3,arg-L,8.52E-2,Homo sapiens
4.4.1.1,cysteine,8.40E-5,2.81E-3,cys-L,2.99E-2,Homo sapiens
4.4.1.20,glutathione,3.09E-3,3.60E-4,gthrd,8.57E+0,Mus musculus
4.4.1.5,glutathione,3.09E-3,4.90E-5,gthrd,6.30E+1,Homo sapiens
4.6.1.1,ATP,4.67E-3,8.63E-5,atp,5.42E+1,Homo sapiens
4.6.1.2,GTP,6.77E-4,1.02E-3,gtp,6.67E-1,Mus musculus
5.1.1.18,serine,4.86E-3,7.98E-3,ser-L,6.09E-1,Mus musculus
5.3.1.1,glyceraldehyde-3-phosphate,1.41E-4,3.35E-4,g3p,4.20E-1,Homo sapiens
5.3.1.1,dihydroxyacetonephosphate,1.63E-3,6.03E-4,dhap,2.70E+0,Homo sapiens
5.3.1.6,ribose-5-phosphate,2.84E-5,2.20E-3,r5p,1.29E-2,Homo sapiens
5.3.1.9,glucose-6-phosphate,6.75E-4,2.50E-4,g6p,2.70E+0,Mus musculus
5.3.1.9,fructose-6-phosphate,9.69E-5,1.16E-4,f6p,8.36E-1,Mus musculus
5.3.2.1,phenylpyruvate,1.77E-3,4.90E-3,phpyr,3.61E-1,Mus musculus
5.3.99.2,glutathione,3.09E-3,1.26E-3,gthrd,2.44E+0,Homo sapiens
5.3.99.3,glutathione,3.09E-3,6.84E-4,gthrd,4.51E+0,Homo sapiens
5.4.2.11,3-phosphoglycerate,3.75E-4,4.00E-4,3pg,9.38E-1,Homo sapiens
5.4.2.4,"1,3-bisphosphoglycerate",2.24E-6,1.64E-6,13dpg,1.37E+0,Homo sapiens
5.4.2.4,"2,3-bisphosphoglycerate",2.37E-4,3.66E-5,23dpg,6.47E+0,Homo sapiens
5.5.1.4,NAD+,5.02E-4,8.00E-6,nad,6.28E+1,Homo sapiens
5.5.1.4,glucose-6-phosphate,6.75E-4,1.52E-3,g6p,4.44E-1,Homo sapiens
5.99.1.3,ATP,4.67E-3,5.00E-4,atp,9.35E+0,Homo sapiens
6.1.1.1,tyrosine,9.38E-4,3.19E-6,tyr-L,2.94E+2,Homo sapiens
6.1.1.10,ATP,4.67E-3,8.50E-5,atp,5.50E+1,Homo sapiens
6.1.1.10,methionine,6.39E-4,1.90E-5,met-L,3.37E+1,Homo sapiens
6.1.1.12,ATP,4.67E-3,5.15E-4,atp,9.07E+0,Homo sapiens
6.1.1.12,aspartate,1.49E-2,2.19E-5,asp-L,6.81E+2,Homo sapiens
6.1.1.15,alanine,6.98E-3,7.90E-2,ala-L,8.83E-2,Homo sapiens
6.1.1.15,proline,1.23E-3,1.80E-4,pro-L,6.84E+0,Homo sapiens
6.1.1.16,ATP,4.67E-3,1.01E-4,atp,4.65E+1,Homo sapiens
6.1.1.16,cysteine,8.40E-5,2.03E-5,cys-L,4.14E+0,Homo sapiens
6.1.1.19,ATP,4.67E-3,6.22E-4,atp,7.51E+0,Homo sapiens
6.1.1.19,arginine,2.55E-4,5.62E-6,arg-L,4.55E+1,Homo sapiens
6.1.1.2,ATP,4.67E-3,1.88E-4,atp,2.49E+1,Homo sapiens
6.1.1.2,tryptophan,1.80E-4,1.41E-5,trp-L,1.28E+1,Homo sapiens
6.1.1.20,ATP,4.67E-3,1.13E-4,atp,4.13E+1,Homo sapiens
6.1.1.20,phenylalanine,8.40E-4,1.60E-5,phe-L,5.25E+1,Homo sapiens
6.1.1.4,ATP,4.67E-3,6.16E-4,atp,7.58E+0,Homo sapiens
6.1.1.4,isoleucine,1.76E-3,5.34E-3,ile-L,3.29E-1,Homo sapiens
6.1.1.4,leucine,1.76E-3,3.28E-5,leu-L,5.36E+1,Homo sapiens
6.2.1.1,ATP,4.67E-3,2.45E-4,atp,1.91E+1,Homo sapiens
6.2.1.1,coenzyme-A,4.04E-3,1.10E-5,coa,3.67E+2,Homo sapiens
6.2.1.15,ATP,4.67E-3,2.90E-5,atp,1.61E+2,Mus musculus
6.2.1.15,coenzyme-A,4.04E-3,5.00E-6,coa,8.07E+2,Mus musculus
6.3.2.11,ATP,4.67E-3,5.70E-4,atp,8.20E+0,Mus musculus
6.3.2.11,lysine,5.06E-4,1.59E-3,lys-L,3.18E-1,Mus musculus
6.3.2.11,histidine,4.10E-4,3.23E-5,his-L,1.27E+1,Mus musculus
6.3.2.17,ATP,4.67E-3,8.09E-5,atp,5.78E+1,Homo sapiens
6.3.2.17,glutamate,6.38E-2,7.45E-4,glu-L,8.55E+1,Homo sapiens
6.3.2.2,ATP,4.67E-3,2.09E-3,atp,2.24E+0,Mus musculus
6.3.2.2,cysteine,8.40E-5,2.44E-4,cys-L,3.45E-1,Mus musculus
6.3.2.2,glutamate,6.38E-2,8.76E-4,glu-L,7.27E+1,Mus musculus
6.3.2.3,ATP,4.67E-3,6.18E-5,atp,7.56E+1,Homo sapiens
6.3.2.3,glycine,3.71E-3,7.66E-4,gly,4.85E+0,Homo sapiens
6.3.2.5,ATP,4.67E-3,2.69E-4,atp,1.74E+1,Homo sapiens
6.3.2.5,cysteine,8.40E-5,1.50E-5,cys-L,5.61E+0,Homo sapiens
6.3.2.5,CTP,8.97E-4,2.65E-4,ctp,3.39E+0,Homo sapiens
6.3.2.B1,ATP,4.67E-3,5.50E-6,atp,8.50E+2,Homo sapiens
6.3.3.2,ATP,4.67E-3,2.13E-5,atp,2.19E+2,Homo sapiens
6.3.4.16,ATP,4.67E-3,3.78E-4,atp,1.24E+1,Homo sapiens
6.3.4.2,ATP,4.67E-3,2.00E-6,atp,2.34E+3,Homo sapiens
6.3.4.2,glutamine,1.72E-2,5.20E-5,gln-L,3.32E+2,Homo sapiens
6.3.4.2,UTP,1.76E-3,3.35E-4,utp,5.27E+0,Homo sapiens
6.3.4.3,ATP,4.67E-3,6.23E-5,atp,7.50E+1,Homo sapiens
6.3.4.4,IMP,1.23E-5,2.48E-5,imp,4.96E-1,Mus musculus
6.3.4.4,aspartate,1.49E-2,1.50E-4,asp-L,9.93E+1,Mus musculus
6.3.4.4,GTP,6.77E-4,1.25E-5,gtp,5.42E+1,Mus musculus
6.3.4.5,ATP,4.67E-3,3.92E-4,atp,1.19E+1,Mus musculus
6.3.4.5,aspartate,1.49E-2,1.54E-4,asp-L,9.67E+1,Mus musculus
6.3.5.1,ATP,4.67E-3,5.90E-5,atp,7.92E+1,Homo sapiens
6.3.5.1,glutamine,1.72E-2,1.46E-4,gln-L,1.18E+2,Homo sapiens
6.3.5.2,ATP,4.67E-3,2.80E-4,atp,1.67E+1,Mus musculus
